cc_name,mentor,description,issues,youtube_publish_date,updated_at,district,impact_possible,is_impact,impact_in_process,target_official,impact_plan,youtube_publish_date_year,youtube_publish_date_month,youtube_publish_date_day,updated_at_year,updated_at_month,updated_at_day,cta_present,cta_description
 Nabor Kerketta Goreti Kujur (maria Goerti),GRADUATE CC,"Village Ulagadda, Tola Dumbardiha, Panchayat Ulagadda, Block-Petarwar, District Bokaro, due to road failure in Jharkhand, it becomes very difficult to get out in the village especially in the rain and darkness.",crumbling infrastructure,2019-09-24 00:00:00.000,2022-11-18 10:44:01.764,BOKARO,True,False,False,BDO, cc must Screen this video to BDO to take this issue forward for road for use of general public. This should be screened as many as public and groups possible as creating pressure to make it happen.,2019,9,24,2022,11,18,True,screen this video to bdo to take this issue forward for road for use of general public.
 Saniyaro Devi,SHIKHA PAHARIN,"District Lohardaga, Block Pesharar, Panchay Rorad, Amit Orao, son of Phul Kumari Devi of village Kauvadair, was forcibly taken away in 2018 by a person near the village, after which he was kept as a bonded laborer in a small village of Palamu for 4 years. | After which Amit's video became increasingly viral in June-July 2021, after which Amit returned home. Even after complaining to the police, the police could not find Amit for 4 years.",trafficking & migration,2022-02-16 00:00:00.000,2022-03-30 13:01:53.727,LOHARDAGA,False,False,NA,NA,NA,2022,2,16,2022,3,30,NA,NA
 Saroj Kumar Rawani,GRADUATE CC,"District Chatra Block Partapur Panchayat Govindpur Chandri Gram Chandri Kala 4 years ago Anganwadi centers were being built under MNREGA scheme but till now it has been left incomplete due to which children of Anganwadi center code number 19, lactating women, proud women as well as There is a lot of difficulty in teaching the assistant nutritionist working in the Anganwadi center.",anti poverty programs,2022-04-12 00:00:00.000,2022-04-22 05:42:06.389,CHHATRA,True,False,True,BDO, Will share video further and talk to block officer,2022,4,12,2022,4,22,True,NA
 Saroj Kumar Rawani,GRADUATE CC," Jila chatra prakhand pratappur panchayat jogidih gram sikni me abhi tak bijli nahi hai 3 years ago, even after half a day of electricity, there is no electricity in the village and here life is going on.",power & energy,2020-12-31 00:00:00.000,2022-03-30 13:01:53.727,CHHATRA,True,False,True,NA, NA,2020,12,31,2022,3,30,False,NA
 Emilia Hansda,NA," Khaparajola village, Malgadi Panchayat, Pakur Sadar block in Pakud district water scarcity is a big problem. Due to the deep mining around the village, all the eight pleasant handpups are dried up. The water level has gone quite low. The people of the village have applied many times so far no action has been taken.",mining,2019-03-28 00:00:00.000,2022-11-18 10:44:01.764,PAAKUR,True,False,False,DC,visit to DC office with an application signed by villagers and submit. Call a gram sabha meeting and discuss the issue. Panchayat should involve because gram sabha have an important role in this. screen video in local area. Anshuman input & feedback given to CC on 10/04/2019. Prakhand Vikas Padadhikari (BDO) se mile unko video dikhaye samasya par charcha kare likhit application de aur photo copy par unse receiving le aur uprokt sabhi process ko achche se interview sahit bhi karte rhe. Take care of the receiving and send us a nice photo too.,2019,3,28,2022,11,18,True,administration should make sure water supply in this village. and take action against mining company if they violated any law
 Elizabeth Murmu,NA," In Pakur District, Purulbona village, GP kaliadaspur, due to lack of route to Kotalpokhar main road, just to cover one kilometer distance are to be rotate 12/13 kilometers away distance. In the days of rainy season, they are forced to come with the help of narrow walking street in the village.",crumbling infrastructure,2019-06-06 00:00:00.000,2022-11-18 10:44:01.764,PAAKUR,True,False,False,ZP, cc must screen this video to Zilla Parishad for rethinking on this road problem to be reconstructed for the general public transport. Through this video screening more awareness and pressure can be created for construction of the road.,2019,6,6,2022,11,18,True,screen this video to zilla parishad for rethinking on this road problem to be reconstructed for the general public transport.
 Elizabeth Murmu,NA,"Since last 2017, the Pakur district, the Block Sadar, near the village, Panchayat Pakur, Peeydapur Over Bridge is very shaky. In the rainy days, the water is stored up to the waist. Due to being a mere over bridge, thousands of people from this bridge each day keep their lives in the hammer. Who knows tomorrow the accident cannot be denied at anytime.",crumbling infrastructure,2019-06-10 00:00:00.000,2022-11-18 10:44:01.764,PAAKUR,True,False,False,CO," cc must screen this video to District Councilor for the immediate rethink on the construction of road with rubbles, so that road commuters will not meet the accident while using road on the stretch. Road users can be organized and screen the video about the problem to pressurize the councilor for reconstruction for public safety.",2019,6,10,2022,11,18,True,"screen this video to dc for the immediate rethink on the construction of road, so that road commuters will not meet the accident while using road on the stretch."
 Sanchita Pathak,MST SORIYA BANU,"Village Paharia Pada Block-Dumka along with Kamila Devi and other persons also filled the forms, pension has been issued and Kamila Devi's pension has not been issued yet. Those who were filled together, money was also given to fill the forum. Getting pension would have helped some.",anti poverty programs,2018-08-16 00:00:00.000,2022-11-18 10:44:01.764,DUMKA,True,False,False,CO," visit CO oofice with Characters, give an application. screen video to CO, also share video on social media",2018,8,16,2022,11,18,True,pension given jay
 Sanchita Pathak,MST SORIYA BANU,"Village - Santhan Para, is the problem of Nawdih, which was built under the Pradhan Mantri Sadak Yojana. The road was not even a year old but it became shabby and filled with potholes.",crumbling infrastructure,2019-12-31 00:00:00.000,2022-11-18 10:42:09.753,DUMKA,True,False,False,BDO, cc must screen this video to BDO for investigation for such corruption to start and the road must be reconstructed as it is public property to complete for the benefits of public.,2019,12,31,2022,11,18,True,cc must screen this video to bdo for investigation for such corruption to start and the road must be reconstructed as it is public property to complete for the benefits of public.
 Beena Bharti,SHIKHA PAHARIN,"The building in Primary Health Center of District Giridih Block Jamua Gram Panchayat Navdiha has been made very big, but one doctor has been left in the care of two nurses. Medicine is also not available in the primary health center, there is no chair available for the patients to sit, there is no facility of any type of machine to examine the patients and there is a lot of trouble due to non-availability of staff, no Even in case of emergency there is no arrangement for any patient to go there.",health,2022-02-09 00:00:00.000,2022-03-30 13:01:53.727,GIRIDIH,True,False,True,CS&BMO, through chat group,2022,2,9,2022,3,30,True,NA
 Sanchita Pathak,MST SORIYA BANU,"Village Nawadih Block Dumka District Dumka has a problem that there are 100 children in the village who study in ninth class and due to no help from the government, the children are not able to study properly, their parents are financially poor. Which is not read by the children, the children of the age of 13-14 are somehow surviving by doing distance work.",education,2022-07-12 00:00:00.000,2022-08-01 08:52:29.586,DUMKA,True,False,True,NA,Jab CC impact ke upar kam suru karegi tab a plan likhungi,2022,7,12,2022,8,1,False,NA
 Sanchita Pathak,MST SORIYA BANU, Due to COVID pandemic the extended lockdown from March 24th till now (Oct 2020) has resulted in colleges being closed. In rural India there is no online education as well. CC Sanchita covers this aspect. Her own son is not going to college. And about 10000 more in her block.,education,2020-10-30 00:00:00.000,2022-03-30 13:01:53.727,DUMKA,False,False,NA,NA,NA,2020,10,30,2022,3,30,NA,NA
 Manju Kisku,NA, Rajmati Devi in Village Jhandi Panchayat Narki Block Vishnugarh has submitted claim form for forest lease in 2013 along with 9 more families. But till now the forest lease has not been received and the forest department people are troubling.,indigenous peoples,2018-08-18 00:00:00.000,2022-11-18 10:44:01.764,HAZARIBAGH,True,False,False,DC," visit to DC office with community, submit th related document. give an application , screen video in community and show video to DC",2018,8,18,2022,11,18,True,pata mile
 Kranti Murmu,NA,"There is a well in Dumardih village of Rupdih panchayat in Narayanpur blok of Jamtara district, Jharkhand, where around 20 household use water for various purposes. The edge of well is broken and it is not conducive to pull out water from the well.",crumbling infrastructure,2019-11-18 00:00:00.000,2022-11-18 10:44:01.764,JAMTARA,True,False,False,BDO, Have a meeting with the affected family members and help them write a collective application and submit it to the Block Development Office. Take the borol of the community meeting and submitting the application to the block office,2019,11,18,2022,11,18,True,edges of well should be repaired to avoid any accident
 Prem Tirkey,NA,"In Jojo Buru of Pipra Toli under Panchayat Harda, Namkum block of Ranchi district, about 27 people from 6 families go half a kilometer away to get water. One has to face a climb to cover this distance, after the separation of Jharkhand, till now no arrangement of water has been made for these people from the block department. They bring water from the same well which was built by the mine owners. In the past many times the chief has been verbally spoken, but till now no facility has been provided.",water,2021-04-03 00:00:00.000,2022-03-30 13:01:53.727,RANCHI,True,True,True,BDO,Application has to be prepared by meeting in the community and the problem has to be informed to the BDO and then screening has to be done in the village.,2021,4,3,2022,3,30,True,NA
 Basanti Hunni Purti,NA," District Khunti Block Murhu Panchayat Murhu Harijan Basti Murhu has 4 chapakals, out of which one chapakal is a bit fine. The rest is lying damaged, they bring water from far away chapakals to meet their needs. The population is about 600 to 650.",water,2018-08-23 00:00:00.000,2022-11-18 10:44:01.764,KHUNTI,True,True,False,ENGINEER," write an application sign by community member, go to PHED department with community give an application, screen video, shre video on local WA group",2018,8,23,2022,11,18,True,handpump installed jay
 Basanti Hunni Purti,NA,"Murhu Panchayat's Dawdih village women have been appointed as 211 sahiyas to work in health work, but their hard work is not being found. There is no opportunity to work from 2011 to 2018. Inke saath kaam karne wali second sahiya ka payment mil raha hai, payment nahi milne se unko aarthikroop se kafi paresani ho raha hai.",labor rights,2018-12-08 00:00:00.000,2022-11-18 10:53:26.859,KHUNTI,True,False,False,CDPO," Charch karte ke saath of people in village, write application with sahiya ke saath, get related authority, meet CDPO and BDo, go to village in the morning and talk about issues",2018,12,8,2022,11,18,False,NA
 Basanti Hunni Purti,NA," Anganwadi worker of Marungtoli village, Godatoli panchayat, Murhu block, Khunti district did not get honorarium for 9 months in 2017. Hansel Tidu says that your money has not come to the bank.",labor rights,2018-08-13 00:00:00.000,2022-11-18 10:44:01.764,KHUNTI,True,False,False,CDPO," visit to CDOP, give an application screen video, shere video on local group",2018,8,13,2022,11,18,True,salary diya jay
 Tulsi Hembrom,SHIKHA PAHARIN,"Vimla Sardar of Hadtopa panchayat Murgaghutu village of East Singhbhum Potka block has five children. In addition to the name of husband and wife in the ration card, 20 families also have the same problem. I had filled the form in the block as well but it has not happened yet. Because of which my family runs by working in other's house.",crumbling infrastructure,2020-03-04 00:00:00.000,2022-11-18 10:42:09.753,EAST SINGHBHUM,True,True,False,DO, organize a meeting with the community. Screen the related video. Write an application and visit the BDO office with the community members. screen that video in front of the officer. Take a receipt of the complaint from the BDO office. Follow-up the process with officers and community till the end,2020,3,4,2022,11,18,True,NA
 Basanti Hunni Purti,NA," There is a problem of drinking water in the Anganwadi center of Harijan Toli Murhu under District - Khunti, Block - Murhu, the center is running in the community building. The number of children is 22. There are no slippers and toilets nearby.",crumbling infrastructure,2018-08-19 00:00:00.000,2022-11-18 10:44:01.764,KHUNTI,True,True,False,CDPO," visit to CDPO, with anaganwadi sevika and community member and give an application to istaall handpump in anagan wadi, screen video in community",2018,8,19,2022,11,18,True,the problem of water in aangamwadi is over.
 Basanti Hunni Purti,NA," In Khunti District, Murhu Block, Panchayat Murhu, Basti Murhu, water has come out from hand pump, but it is not fit for cooking and drinking, it causes problems to the people. There is a possibility of happening.",water,2018-09-13 00:00:00.000,2022-11-18 10:44:01.764,KHUNTI,True,False,False,ENGINEER," visit to PHED and give an application to executive engineer, screen video. screen video in community",2018,9,13,2022,11,18,True,hail to repair of h&pump
 Shanti Kumari Baraik,GURUPRASAD PEDNEKAR,"Water has been delivered to all households in the village under the rural water supply scheme in village Patura of Basia Panchayat Morang, District Gumla Block. But when the PCC road was built in the village, the main pipe burst, due to which more than 500 people are being deprived of water.",crumbling infrastructure,2019-12-17 00:00:00.000,2022-11-18 10:44:01.764,GUMLA,True,False,False,BDO, organize a meeting with the community. Screen the related video. Write an application and visit the BDO office with the community members. screen that video in front of the officer. Take a receipt of the complaint from the BDO office. Follow-up the process with officers and community till the end,2019,12,17,2022,11,18,True,repair the pipeline
 Sanchita Pathak,MST SORIYA BANU," Virendra Bhuyan of District Chatra, Block-Kanhachati, Village - Mishra Diha, is a Divyang by birth. He got a Divyang certificate in 2013 after much effort, and even after applying several times, he is not getting the benefit of the pension scheme till date. It is due, to which 5 families are facing a lot of trouble. And their children are also suffering from malnutrition.",livelihoods,2019-11-15 00:00:00.000,2022-11-18 10:44:01.764,DUMKA,True,False,False,CDPO, CC must show this video to the authority for urgent provision of ration for which four children subsist on the father's income for food and nutrition.,2019,11,15,2022,11,18,True,cta to cdpo for urgent provision for penson money.
 Saroj Kumar Rawani,GRADUATE CC," District Chatra Parkhand Mayurhand Panchayat Belkhori Gram Aktara's Anusuchit Tola, since last 5 years a community hall has been built and it has become very popular to do 200 people for 30 days.",crumbling infrastructure,2020-10-20 00:00:00.000,2022-03-30 13:01:53.727,CHHATRA,True,False,True,NA,NA,2020,10,20,2022,3,30,False,NA
 Sanchita Pathak,MST SORIYA BANU, Madhuri Malik's husband died 13 years back but till now she does not get any widow pension. She has tried to reach the village panchayat and submitted forms but nothing helped.,anti poverty programs,2019-04-24 00:00:00.000,2022-11-18 10:44:01.764,DUMKA,True,False,False,CO, Write a letter to the CO signed by the Patra. Show him the mojo. keep a copy of the letter. Follow up.,2019,4,24,2022,11,18,True,get widow pension
 Sanchita Pathak,MST SORIYA BANU, There are 100 families in the block out of which only 50 families get their old age pensions. the rest 50 families have members aged 70 and above but have never received any pension. They have filled forms more than 2 years back.,anti poverty programs,2019-02-04 00:00:00.000,2022-11-18 10:44:01.764,DUMKA,True,False,False,CO, Write a letter to the CO signed by the villagers and submit to the CO office. show this mojo to the officer.,2019,2,4,2022,11,18,True,sanctioning old age pension asap
 Kashif Akhtar,SHIKHA PAHARIN,"350 people, including Sunita Devi and Jhari Rai, are not getting pure drinking water for almost 5 months in Navdiha village of Markachcho, Panchayat of Markachcho block area under Koderma district. Chapanal is installed at two places in the village, but at both the places the chapanal is bad. Due to which the community has to depend on the contaminated water of river and well for drinking water and other needs. Young children and old people are equally falling ill after drinking contaminated water. Let us tell you that a solar water tower has been constructed in the village from the 14th financial year, for the water tower, summersable was inserted in a chapanal nearby, due to which that chapanal has become useless. A solar water tower was constructed near the drinking water and sanitation department PhD near the second Chapanal, a boring was also done for water but the boring failed, due to which summersable was put in another Chapanal nearby, due to which Since then the second chapanal has also become useless.",water,2022-11-17 00:00:00.000,2022-12-06 12:24:46.331,KODERMA,True,True,True,NA, Will apply for rights and will bet in the village,2022,11,17,2022,12,6,True,NA
 Kashif Akhtar,SHIKHA PAHARIN,"In Navdiha village of Panchayat Dagranwan under Markachcho block of Koderma district, 32 families are forced to live in darkness for about 5 years, it is not that there is no electricity in this village, about 7 years ago the local satisfaction by the electricity department Electricity connection was given to 32 families including Kumar Rai, everything went well for 2 years, after that the transformer was replaced by the electricity department, as soon as the transformer was installed, there was some fault in the transformer and then it was not made again. Found, after which the transformer has not been replaced even after 5 years, due to which the villagers are forced to live in darkness. Local villagers say that due to lack of electricity, there is a fear of wild animals in the dark of night, there are many problems in coming and going, and small children studying in school are facing a lot of difficulty in their studies.",power & energy,2022-10-29 00:00:00.000,2022-11-16 05:41:10.077,KODERMA,True,True,True,NA," Gaon me baithak kar aabedan banayenge, aur adhikari ko aavedan denge, video karenge karenge aur adhikari ko dikhayenge",2022,10,29,2022,11,16,True,NA
 Kamal Kishor Purty,NA,"In today's day, phone number is needed in every work. Nothing works without a phone number. The country is Digital India and the network is digital. There is network problem in every forest area village of Jharkhand. Due to this there are many problems, in Gay Gay village of Murhu block of Khunti district, community of video volunteers keeps on communicating, they have to depend on internet for their work, so that village problem or inspirational story can reach the world. .",technology,2018-08-11 00:00:00.000,2022-11-18 10:44:01.764,WEST SINGHBHUM,False,False,False,NA,NA,2018,8,11,2022,11,18,NA,NA
 Lalitha Kumari Hembrom,NA," In the district - Devghar, Block-Margomunda, the street lane of village - Barastiya (Tola-Bazarpaduwa) is approximately 150 meters uneven deep condition. It is very difficult to come towards Pandinia and take out the animals. The attempt was made but has not yet happened. If there is a pcc here, the hassle of coming and going is relieved and the street remains neat and clean road for communication.",crumbling infrastructure,2018-12-18 00:00:00.000,2022-11-18 10:44:01.764,DEOGHAR,True,True,False,BDO, screen this video from Barstia to Pandinia road is in bad condition for communication for all people and animals to pass as it has become rushing and jammed one for all for communication as people face it on regular basis.,2018,12,18,2022,11,18,True,screen this video from barstia to pandinia road is in bad condition for communication for all people and animals to pass as it has become rushing and jammed one for all for communication as people face it on regular basis.
 Lalitha Kumari Hembrom,NA," An old widow aged 60, after applying for the pension more than twice yet she has not received her pension as she is too old to do daily labor and she cannot see properly due to age pressure. She lives in barsatia village, GP Chetnari in Morgomunda block in Devghar district.",anti poverty programs,2019-02-26 00:00:00.000,2022-11-18 10:44:01.764,DEOGHAR,True,False,False,BDO, Screen this video to BDO why an old widow has not received her pension to lead her life at this age. Even she cannot have right vision.,2019,2,26,2022,11,18,True,screen this video to bdo why an old widow has not received her pension to lead her life at this age. even she cannot have right vision.
 Kashif Akhtar,SHIKHA PAHARIN,"About 400 people of about 50 families, including Shanti Birhorni and Dahani Birhorni, reside in village Bariardih Birhor Tola of Panchayat Murkmanay under Markachcho block of Koderma district. Some of these families were provided government housing (Indira Awas) in 2009. Which has now reached a completely dilapidated condition, these Birhor families have to face a lot of problems during the rainy season, water drips from the dilapidated alabaster on top of the house, due to which they have to face a lot of problems. I held a meeting with the community on this matter and in the meeting an application was made in the name of Chief Minister Jharkhand Government, Deputy Commissioner Koderma, Zilla Parishad President Koderma and Block Development Officer and the application was given.",anti poverty programs,2022-12-12 00:00:00.000,2022-12-28 12:24:42.771,KODERMA,True,False,True,NA, Video share karenge aur Adhikari se call ke Madhyam se follow karte rahenge,2022,12,12,2022,12,28,True,NA
 Emilia Hansda,NA,"Nicolas Maradi of Village Kankjol Panchayat Manikpur Block Maheshpur District Pakur, age about 11 years, he is disabled since birth, he is handicapped by leg and mouth but does not get pension, his father Sunil Maradi is very poor, working alone. If Nicholas gets pension then he will get some relief.",anti poverty programs,2018-09-01 00:00:00.000,2022-11-18 10:44:01.764,PAAKUR,True,False,False,BDO," visit to BDO, give an application sign by applicants, screen video, submit all document",2018,9,1,2022,11,18,True,pension given jay
 Sunil Kujur,NA,"Latehar:- Manika Block under Donki Panchayat, Ward no. A total of 290 children are enrolled in the Government Middle School, Donki, established in village Donki of 01, in which there are only 02 chapakals in the school premises, out of which 01 chapakal is lying defective for the last 05 years.",education,2018-10-15 00:00:00.000,2022-11-18 10:44:01.764,LATEHAR,True,False,True,SK, CC will show this video in the community then write an application and meet the official,2018,10,15,2022,11,18,True,please correct handshake.
 Sunil Kujur,NA," Latehar:- Village Bariatu of Donki Panchayat under Manika block, the very poor women family Mrs. Rina Devi husband Pyari Singh, across Tola river, from the month of July 2017, from public distribution system shop to block food supply (MO) and district food supply. Officers (DSO) are forced to circle.",anti poverty programs,2018-09-17 00:00:00.000,2022-11-18 10:44:01.764,LATEHAR,True,False,False,BDO,"visit to BDO office, give an application sign by applicants. screen video. submit all important documents.",2018,9,17,2022,11,18,True,ration given jay
 Sunil Kujur,NA,"Latehar:- Manika Block under Donki Panchayat, Ward no. 09's village Bariatu, Tola Akhadatola's very poor women family Pradeshiya Devi (Masomat) husband Late. From July 2017, Ramchandra Singh was forced to make rounds from the Public Distribution System shop to Block Food Supply (MO) and District Food Supply Officer (DSO) regarding food grains. Till now ration card and food grains have not been received.",anti poverty programs,2018-09-17 00:00:00.000,2022-11-18 10:44:01.764,LATEHAR,True,False,False,BDO,"visit to BDO office. give all the documents and give an application. sign by applicants. screen video to officers Anshuman input on 25/09/2018 Screening & meeting organized with the community grashit hai. Chuki adhikari to sun nhi rhe hai isliye Mukhyamantri Jansanwad me shayakat darz karwaye aur uprokt sabhi process ko achche se interview sahit bhi karte rhe. Anshuman update on 15/01/2019 After community screening & meeting with Mukhyamantri Jansanwad me shikayat darz karwai gai, DSO ko notice jaari kiya gaya hai, DSO ne ne Supply Inspector ke mediumm se satyapan kar report mangawai hai, Supply Inspector ne gaon se satyapan Kar report has been sent, it is expected that soon the name will be added to the ration card list and our bad card will also be issued.",2018,9,17,2022,11,18,True,ration given jay
 Sunil Kujur,NA,"Donchi Panchayat, Manika Block Village of Panki Tanki Under Latehar District , Tola Chatan Tola resident Jaso Devi is not getting ration from 01 Jan, 2017,she is visited to Block and met Khandhya Supply (MO) and District Food Supply Officer (DSO) but still she is not getting Grain from Distribution System Shop.",anti poverty programs,2018-10-04 00:00:00.000,2022-11-18 10:44:01.764,LATEHAR,True,False,False,BDO," visit to BDO office, screen video, give an application to BDO with all important document.",2018,10,4,2022,11,18,True,ration given jay
 Sunil Kujur,NA,"Latehar:- In Akhadatoli of village Sirish under Manika, 71 people from 11 families along with 71 people from 11 families, along with the guests who came on the day of Karma, Sarhul, the main festival of the tribal community, have been facing problems for the last 03 years, coming to Panchayat Donki on June 13, 2018. Deputy Commissioner Mr. Rajeev Kumar said that water arrangement in all the villages will be done without delay, Chief Mrs. Parvati Devi will do it. has not yet been.",water,2018-09-14 00:00:00.000,2022-11-18 10:44:01.764,LATEHAR,True,False,False,BDO," visit to BDO, screen video, give an application sign by applicants.",2018,9,14,2022,11,18,True,hail to the water
 Sanju Malto,NA," At the end of the sadak yajna, there is no sadak in the village, but in Jharkhand's Ati Picchhade area of Sahebganje, if there is no sadak in the village, then it is very painful to go to the hospital; ke karan ho gaya.",crumbling infrastructure,2019-08-30 00:00:00.000,2022-11-18 10:53:26.859,SAHEBGANJ,True,False,False,M," Call a meeting in the village, give an application to all the people with whom the issue is being discussed .",2019,8,30,2022,11,18,True,good morning
 Shikha Paharin,GRADUATE CC," Ramphal Devi, a 63-year-old woman, who lives in Solbandhavillage, Panchayat-Baratalla, Block-Mandro, Sahibganj. Ramphal Devi has applied to the local panchayat and administration 5 times but even today she has not received an old-age pension.",governance and accountability,2019-12-05 00:00:00.000,2022-11-18 10:44:01.764,SAHEBGANJ,True,False,False,BDO, organize a meeting with the community. Screen the related video. Write an application and visit the BDO office with the community members. screen that video in front of the officer. Take a receipt of the complaint from the BDO office. Follow-up the process with officers and community till the end,2019,12,5,2022,11,18,True,get the pension
 Sanju Malto,NA," District Sahebganj Panchayat Dammin Bhitha Block Mandro Village, Amjora pahad, under the govt scheme ""the Chief Minister's Water Sanctuary Development Plan"" tried to bring water to the village, due to the break down of the pipe, the scheme was not successful and now people have to bring water from far away.",water,2018-10-08 00:00:00.000,2022-11-18 10:44:01.764,SAHEBGANJ,True,False,False,BDO," screen video in community, write an application sign by villages, give to BDO. screen video to BDO",2018,10,8,2022,11,18,True,repair of pipe line
 Kamal Kishor Purty,NA," Village Tartariya, block Majhgaon distt. West Singhbhum. Bijli tiriya a 25 years old boy is 90% disabled since childhood. According to the ward member Bijli is not getting the Aadhar card because of his finger print etc. are not scanning properly. So, he is not getting any benefit like, Disabled certificate, Wheelchair, pension etc.",governance and accountability,2019-09-24 00:00:00.000,2022-11-18 10:44:01.764,WEST SINGHBHUM,True,False,False,CO, Screen video in the community and to the officials. Distribute it to local whatsapp group and social media.,2019,9,24,2022,11,18,True,"bijli should get the wheelchair, pension and aadhar card."
 Halima Ejaz,GURUPRASAD PEDNEKAR,"In the Mahuda region, in the district of Dhanbad people are facing the depletion of natural resources - due to many various mining works is going on recklessly - people have given their 7 demand charters through dharana/protest in district headquarters; how coal excavation has brought a great loss to their agricultural land and production, so that youths also migrate to other places for their livelihood.",environment,2019-01-04 00:00:00.000,2022-11-18 10:44:01.764,DHANBAD,True,False,False,CO, Screen this video to as many as people possible for a greater awareness to demand to be fulfilled firstly then people of the district collectively can meet the deputy commissioner to pressurize in stopping the mining.,2019,1,4,2022,11,18,True,screen this video to as many as people possible for a greater awareness to demand to be fulfilled firstly then people of the district collectively can meet the deputy commissioner to pressurize in stopping the mining.
 Elizabeth Murmu,NA,"District -Pakud, Block- Maheshpur, Panchayat- Sitarampur, village- Mayurbandh has been disabled due to Shilvanti Marandi's illness, and is also a widow- and her daughter is also ailing, living very difficult life for several times for pension application written but no pension received yet.",anti poverty programs,2019-02-14 00:00:00.000,2022-11-18 10:44:01.764,PAAKUR,True,False,False,BDO, screen this video to BDO for immediate availability of pension card and CC can assist the widow for her daughter's differently able certificate to avail to get pension for livelihood as widow has nobody to look after.,2019,2,14,2022,11,18,True,screen this video to bdo for immediate availability of pension card and differently able certificate to avail for daughter to get pension for livelihood as widow has nobody to look after.
 Elizabeth Murmu,NA,"Village Bhagaband block Maheshpur district Pakur is troubled by the broken road, there is only one way to connect the village with the main road, due to the negligence of the government, this road has not been constructed till date. Is",crumbling infrastructure,2020-08-15 00:00:00.000,2022-03-30 13:01:53.727,PAAKUR,True,False,True,BDO," visit to panchayat office and give the application, go to block office and meet BDo and ask about the any money allocation for the road. if yes ask bdo to give an order to panchayat to reapir the road",2020,8,15,2022,3,30,True,NA
 Elizabeth Murmu,NA," Many other people including Neelam Tuddu of tribal community living in Murgadanga village, Pakur district of Jharkhand are eligible for disability pension. But due to ignorance of the scheme and government indifference, the disabled pension is not being received.",anti poverty programs,2021-01-31 00:00:00.000,2022-03-30 13:01:53.727,PAAKUR,True,False,False,BDO, visit to BDO office with all documents. alos if they dont have viklamgata praman patra first CC need to get this certificates with 40% disability and apply for the pension.,2021,1,31,2022,3,30,True,NA
 Elizabeth Murmu,NA,"The tribal community living in Birnagar district Pakur of Jharkhand is not getting ration due to lack of ration card. Even if ration cards were made for some people, they would get less food grains and they did not get the benefit of the government's free grain scheme during the Corona period.",anti poverty programs,2021-01-31 00:00:00.000,2022-03-30 13:01:53.727,PAAKUR,True,False,True,BDO, Visit to BDO office with all the documents. make an application and submit in govt office. share or screen video to BDO,2021,1,31,2022,3,30,True,NA
 Elizabeth Murmu,NA," Today it is almost one year since the beginning of the Corona period. This time was very difficult for everyone, but even today in some villages of Maheshpur block of Pakud district from Jharkhand, the resident community is deprived of ration under the government scheme due to lack of proper ration card. The problem is not being solved even after talking repeatedly in the Panchayat.",anti poverty programs,2021-02-18 00:00:00.000,2022-03-30 13:01:53.727,PAAKUR,True,False,False,BDO,"After getting the consent of the people of the village, write an application and give it to the panchayat. Saath hi yeh pata karna ki kyun unka ration card nahi bana. Take all the documents and go to the BDO office and give the application. Gaon me video ka screening karna aur adhiakri ko bho vide dikhana",2021,2,18,2022,3,30,True,NA
 Elizabeth Murmu,NA,"In small village Sindri in Pakur district of Jharkhand state, 38 families have white ration cards. After Corona, the government has promised to give free ration to all the poor families. Due to the white card with the families, they are not getting ration. Looking at their condition, there is an appeal that free ration should be given to these families.",anti poverty programs,2020-07-19 00:00:00.000,2022-11-18 10:42:09.753,PAAKUR,True,True,False,BDO, visit to BDO office or Call BDO and Marketing officer. and ask to give free ration,2020,7,19,2022,11,18,NA,NA
 Elizabeth Murmu,NA," Old age pension is a scheme to provide social security. But even after applying, the old women of Sindri village, District Pakur, Jharkhand are still waiting for pension. == Despite giving application, senior citizens (women) of Sindri village are unable to get pension under the Senior Citizen scheme",anti poverty programs,2020-08-05 00:00:00.000,2022-11-18 10:42:09.753,PAAKUR,True,False,False,BDO,Make an application and submit to BDO office. Ask pankaj if any online service available to apply online,2020,8,5,2022,11,18,True,NA
 Elizabeth Murmu,NA," District - Pakud, Block - Maheshpur, Panchayat - Sitarampur, village - Bhagaband's PCC, has not created due to which people are having trouble for coming and going for the public.",governance and accountability,2019-02-14 00:00:00.000,2022-11-18 10:44:01.764,PAAKUR,True,False,False,BDO, screen this video t BDO for creating pressure to make the road Pucca for communication. CC can plan to screen to all villagers to be together sign an application for submission with their representation before the authority for creating pressure and insisting the authority to do/consider this application for road making quickly.,2019,2,14,2022,11,18,True,screen this video t bdo for creating pressure to make the road pucca for communication.
 Elizabeth Murmu,NA," The husband of Bahasuri Marandi of Village- Mayerband, Panchayat- Sitarampur, Block- Maheshpur, District- Pakur has died in 2015, has also applied for widow pension twice but till now no benefits have been received. She has five children and is running her family by working with others.",anti poverty programs,2019-01-29 00:00:00.000,2022-11-18 10:44:01.764,PAAKUR,True,False,False,BDO,"Bahasuri Marandi's husband died in 2015, the widow of Maheshpur District, Block -Pakur, GP Sitarampur, has already done the application twice but she has not yet received any benefits. They have five children running the family by working in other's house.",2019,1,29,2022,11,18,True,screen this video to the bdo with the applicant's documents how she has been applying to receive pension but she has not received her due for the last five years.
